(5, 12)
(4, 12)
(3, 12)
(2, 12)
(1, 12)
(0, 12)
(0, 13)
(0, 14)
(1, 14)
(2, 14)
(3, 14)
(4, 14)
(5, 14)
(6, 14)
(7, 14)
(8, 14)
(8, 13)
(8, 12)
(8, 11)
(8, 10)
(8, 9)
(8, 8)
(7, 8)
(6, 8)
(6, 7)
(6, 6)
(7, 6)
(8, 6)
(8, 5)
(8, 4)
(8, 3)
(8, 2)
(8, 1)
(8, 0)
(7, 0)
(6, 0)
(5, 0)
(4, 0)
(3, 0)
(2, 0)
(1, 0)
(0, 0)
(0, 1)
(0, 2)
(0, 3)
(0, 4)
(0, 5)
(0, 6)
(0, 7)
(0, 8)
(0, 9)
(0, 10)
(1, 10)
(2, 10)
(2, 9)
(2, 8)
(2, 7)
(2, 6)
(2, 5)
(2, 4)
(2, 3)
(2, 2)
(3, 2)
(4, 2)
(5, 2)
(6, 2)
(6, 3)
(6, 4)
(5, 4)
(4, 4)
(4, 5)
(4, 6)
(4, 7)
(4, 8)
(4, 9)
(4, 10)
(5, 10)
(6, 10)
(6, 11)
(6, 12)
(5, 12)
